label,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128
0,6,0,6,21,472,1,4,10,0,5,2,96,3,121,87,0,1,119,2,180,105,78,11,0,0,1,102,434,118,113,0,14,4,14,82,12,132,0,0,2,4,11,126,86,24,2,0,4,0,0,0,71,56,51,5,3,3,0,112,1466,529,6,3,0,1,0,324,462,641,129,47,3,0,1,193,0,4,67,13,8,1,1,15,0,93,15,1,2,5,0,43,7,4,41,0,0,0,3,56,3,97,11,7,6,0,135,0,10,2,63,127,2,2,67,69,0,0,79,255,0,2,117,108,0,3,62,211,0
0,0,9,4,15,476,0,0,0,1,0,0,87,6,120,82,0,0,116,0,179,117,76,12,0,0,0,106,439,115,129,0,14,0,13,78,23,152,6,0,0,0,11,130,79,4,3,0,3,0,5,1,79,67,48,8,0,0,0,117,1477,531,8,4,1,0,0,335,454,645,133,48,3,0,0,195,3,4,59,10,8,0,7,22,0,91,15,2,1,2,3,51,7,7,39,0,0,0,2,56,4,112,12,7,5,0,134,0,8,0,68,129,0,3,66,77,0,0,78,253,0,2,120,116,19,7,56,211,0
0,6,1,7,19,487,4,15,0,0,3,2,100,3,122,88,0,2,119,0,180,109,78,11,0,0,0,103,434,120,118,0,0,0,7,81,7,153,5,0,1,1,11,129,64,4,6,0,3,1,11,16,71,65,49,6,0,0,0,115,1504,538,11,3,0,3,0,335,461,647,131,47,3,0,0,197,3,7,64,13,8,4,0,17,0,89,15,1,1,3,1,66,16,6,38,0,0,0,3,56,3,104,5,8,14,0,135,0,9,4,67,141,4,3,67,67,0,11,72,248,23,0,119,117,1,6,60,218,19
0,6,1,7,20,485,2,0,0,0,0,2,98,5,121,85,0,1,115,2,179,118,78,12,0,0,0,110,438,120,127,0,14,1,11,80,23,160,13,0,0,0,10,132,78,6,8,0,0,0,0,4,76,59,65,5,0,0,5,115,1486,528,3,0,7,1,0,342,467,643,136,37,4,0,1,196,3,4,67,9,15,1,1,20,0,91,16,5,3,2,2,0,6,5,36,5,0,0,0,53,3,91,1,7,4,0,139,0,9,2,60,128,0,1,65,67,3,0,78,240,0,1,103,119,2,3,62,229,0
0,0,3,11,32,486,0,0,0,0,8,0,96,3,121,82,0,0,143,4,184,117,76,12,0,0,0,122,438,121,124,0,15,0,15,81,23,150,6,0,3,0,12,131,79,4,4,0,5,0,2,2,73,67,49,7,0,0,0,116,1481,543,7,5,0,0,0,340,467,648,133,39,4,0,0,195,3,3,67,7,6,12,0,21,0,88,16,1,0,0,1,19,3,4,34,0,0,0,1,52,3,93,14,6,4,0,135,0,9,1,63,132,4,3,67,66,3,0,84,236,1,1,116,114,1,2,72,223,11
0,2,6,6,19,579,1,0,2,0,2,3,96,3,126,82,1,2,158,2,223,124,71,14,0,5,2,110,419,110,105,2,17,0,13,60,11,88,5,0,1,0,9,113,70,5,0,0,3,0,2,1,69,64,49,7,0,0,1,100,1517,548,7,4,0,1,0,332,475,657,134,36,7,0,1,193,11,0,77,14,11,3,0,9,0,99,22,0,4,3,0,192,6,3,32,0,0,7,0,33,1,84,1,7,2,12,76,9,12,1,3,79,0,15,11,102,11,0,38,49,0,0,108,161,10,3,51,67,1
0,4,2,3,15,435,0,0,0,0,0,1,83,0,127,79,7,0,103,1,159,56,91,4,8,0,0,75,400,135,174,31,33,0,13,68,11,200,7,0,3,1,12,96,68,37,3,0,5,0,1,3,25,63,46,6,1,0,0,58,596,732,38,15,0,0,0,114,274,816,965,43,1,0,8,127,3,2,75,24,3,19,0,19,0,27,3,2,2,0,12,48,3,4,32,0,0,0,5,54,4,91,9,19,1,0,120,0,11,1,0,100,0,4,63,70,3,0,32,125,0,3,110,149,3,0,107,46,14
0,5,1,6,15,478,1,0,2,0,3,2,80,3,120,89,0,1,105,3,152,98,77,9,4,0,1,73,390,127,143,0,19,0,14,102,20,195,9,0,0,0,15,101,62,28,4,0,4,0,3,7,67,65,71,6,1,3,0,81,960,807,48,16,0,0,1,135,327,1217,686,45,9,0,0,121,62,3,45,12,24,3,0,17,0,25,2,3,1,3,1,36,0,4,21,2,0,0,3,53,4,92,1,25,3,0,126,0,11,0,3,121,166,3,63,79,1,0,1,125,119,3,115,151,2,3,12,15,16
0,1,0,3,15,487,0,0,1,6,11,2,87,3,120,88,0,1,124,4,157,96,77,4,0,0,1,83,399,127,146,0,16,0,14,83,22,198,30,4,0,0,17,126,75,36,1,0,0,0,4,4,71,62,49,0,3,1,0,108,1197,570,38,23,29,1,0,292,403,628,147,50,2,0,1,190,3,5,92,17,9,2,0,20,0,103,2,3,0,2,2,48,1,5,24,1,0,0,18,67,6,92,0,23,4,0,137,1,7,2,3,125,174,5,60,82,7,0,0,134,114,0,116,143,0,2,7,18,17
0,5,1,2,7,481,1,0,1,0,5,2,100,3,119,89,0,2,109,3,173,100,76,4,0,0,1,91,425,129,145,0,17,0,14,82,29,201,23,0,3,0,15,131,75,31,0,0,4,0,3,3,75,63,44,6,0,0,0,122,1214,615,15,17,0,1,0,335,427,636,152,48,2,0,1,188,3,10,99,15,7,0,1,19,0,107,0,4,0,1,2,51,9,7,30,0,0,0,4,63,7,94,9,22,5,0,130,13,15,3,0,123,177,4,62,88,0,0,16,136,135,4,119,163,0,0,1,13,17
